"@timestamp","netflow.exporter.ip","network.transport","source.ip","source.port","destination.ip","destination.port","network.bytes","network.packets"
"2022-04-13 09:21:44.339Z","192.168.186.128",tcp,"192.168.186.93",60899,"192.168.186.129",80,40,1
"2022-04-13 09:21:26.316Z","192.168.186.128",tcp,"192.168.186.93",60898,"192.168.186.129",80,80,2
"2022-04-13 09:20:42.690Z","192.168.186.128",tcp,"192.168.186.93",60897,"192.168.186.129",80,40,1
"2022-04-13 09:20:31.746Z","192.168.186.128",tcp,"192.168.186.93",60896,"192.168.186.129",80,40,1
"2022-04-13 09:20:23.826Z","192.168.186.128",tcp,"192.168.186.93",60895,"192.168.186.129",80,40,1
"2022-04-13 09:20:02.852Z","192.168.186.128",tcp,"192.168.186.93",60893,"192.168.186.129",80,40,1
"2022-04-13 09:19:55.237Z","192.168.186.128",tcp,"192.168.186.93",60892,"192.168.186.129",80,40,1
"2022-04-13 09:19:42.028Z","192.168.186.128",tcp,"192.168.186.93",60891,"192.168.186.129",80,40,1
"2022-04-13 09:19:34.489Z","192.168.186.128",tcp,"192.168.186.93",60890,"192.168.186.129",80,40,1
"2022-04-13 09:19:29.559Z","192.168.186.128",tcp,"192.168.186.93",60889,"192.168.186.129",80,40,1
"2022-04-13 09:19:24.042Z","192.168.186.128",tcp,"192.168.186.93",60888,"192.168.186.129",80,40,1
"2022-04-13 09:19:19.527Z","192.168.186.128",tcp,"192.168.186.93",60887,"192.168.186.129",80,40,1
"2022-04-13 09:19:14.474Z","192.168.186.128",tcp,"192.168.186.93",60886,"192.168.186.129",80,40,1
"2022-04-13 09:19:08.146Z","192.168.186.128",tcp,"192.168.186.93",60885,"192.168.186.129",80,40,1
"2022-04-13 09:19:04.750Z","192.168.186.128",tcp,"192.168.186.93",60884,"192.168.186.129",80,40,1
"2022-04-13 09:19:03.597Z","192.168.186.128",tcp,"192.168.186.93",60883,"192.168.186.129",80,40,1
"2022-04-13 09:19:03.264Z","192.168.186.128",tcp,"192.168.186.93",60882,"192.168.186.129",80,40,1
"2022-04-13 09:19:02.832Z","192.168.186.128",tcp,"192.168.186.93",60881,"192.168.186.129",80,40,1
"2022-04-13 09:19:02.831Z","192.168.186.128",tcp,"192.168.186.93",60880,"192.168.186.129",80,40,1
"2022-04-13 09:19:02.830Z","192.168.186.128",tcp,"192.168.186.93",60879,"192.168.186.129",80,40,1
"2022-04-13 09:19:02.829Z","192.168.186.128",tcp,"192.168.186.93",60878,"192.168.186.129",80,40,1
"2022-04-13 09:19:02.818Z","192.168.186.128",tcp,"192.168.186.93",60877,"192.168.186.129",80,40,1
"2022-04-13 09:19:02.336Z","192.168.186.128",tcp,"192.168.186.93",60875,"192.168.186.129",80,40,1
"2022-04-13 09:19:01.940Z","192.168.186.128",tcp,"192.168.186.93",60874,"192.168.186.129",80,40,1
"2022-04-13 09:19:00.916Z","192.168.186.128",tcp,"192.168.186.93",60873,"192.168.186.129",80,40,1
"2022-04-13 09:19:00.262Z","192.168.186.128",tcp,"192.168.186.93",60872,"192.168.186.129",80,40,1
"2022-04-13 09:18:59.876Z","192.168.186.128",tcp,"192.168.186.93",60871,"192.168.186.129",80,40,1
"2022-04-13 09:18:59.846Z","192.168.186.128",tcp,"192.168.186.93",60870,"192.168.186.129",80,40,1
"2022-04-13 09:18:59.842Z","192.168.186.128",tcp,"192.168.186.93",60869,"192.168.186.129",80,40,1
"2022-04-13 09:18:59.839Z","192.168.186.128",tcp,"192.168.186.93",60868,"192.168.186.129",80,40,1
"2022-04-13 09:18:59.837Z","192.168.186.128",tcp,"192.168.186.93",60867,"192.168.186.129",80,40,1
"2022-04-13 09:18:59.836Z","192.168.186.128",tcp,"192.168.186.93",60866,"192.168.186.129",80,40,1
"2022-04-13 09:18:59.835Z","192.168.186.128",tcp,"192.168.186.93",60865,"192.168.186.129",80,40,1
"2022-04-13 09:18:59.830Z","192.168.186.128",tcp,"192.168.186.93",60864,"192.168.186.129",80,40,1
"2022-04-13 09:18:59.824Z","192.168.186.128",tcp,"192.168.186.93",60863,"192.168.186.129",80,40,1
"2022-04-13 09:18:59.810Z","192.168.186.128",tcp,"192.168.186.93",60862,"192.168.186.129",80,40,1
"2022-04-13 09:18:59.781Z","192.168.186.128",tcp,"192.168.186.93",60861,"192.168.186.129",80,40,1
"2022-04-13 09:18:59.284Z","192.168.186.128",tcp,"192.168.186.93",60860,"192.168.186.129",80,40,1
"2022-04-13 09:18:58.423Z","192.168.186.128",tcp,"192.168.186.93",60859,"192.168.186.129",80,40,1
"2022-04-13 09:18:55.893Z","192.168.186.128",tcp,"192.168.186.93",60857,"192.168.186.129",80,40,1
"2022-04-13 09:18:55.337Z","192.168.186.128",tcp,"192.168.186.93",60856,"192.168.186.129",80,40,1
"2022-04-13 09:18:54.574Z","192.168.186.128",tcp,"192.168.186.93",60855,"192.168.186.129",80,40,1
"2022-04-13 09:18:54.020Z","192.168.186.128",tcp,"192.168.186.93",60854,"192.168.186.129",80,40,1
"2022-04-13 09:18:53.774Z","192.168.186.128",tcp,"192.168.186.93",60853,"192.168.186.129",80,40,1
"2022-04-13 09:18:53.344Z","192.168.186.128",tcp,"192.168.186.93",60852,"192.168.186.129",80,40,1
"2022-04-13 09:18:52.831Z","192.168.186.128",tcp,"192.168.186.93",60851,"192.168.186.129",80,40,1
"2022-04-13 09:18:52.368Z","192.168.186.128",tcp,"192.168.186.93",60850,"192.168.186.129",80,40,1
"2022-04-13 09:18:52.146Z","192.168.186.128",tcp,"192.168.186.93",60849,"192.168.186.129",80,40,1
"2022-04-13 09:18:52.090Z","192.168.186.128",tcp,"192.168.186.93",60848,"192.168.186.129",80,40,1
"2022-04-13 09:18:52.035Z","192.168.186.128",tcp,"192.168.186.93",60847,"192.168.186.129",80,40,1
"2022-04-13 09:18:51.852Z","192.168.186.128",tcp,"192.168.186.93",60846,"192.168.186.129",80,40,1
"2022-04-13 09:18:51.553Z","192.168.186.128",tcp,"192.168.186.93",60845,"192.168.186.129",80,40,1
"2022-04-13 09:18:51.497Z","192.168.186.128",tcp,"192.168.186.93",60844,"192.168.186.129",80,40,1
"2022-04-13 09:18:50.623Z","192.168.186.128",tcp,"192.168.186.93",60842,"192.168.186.129",80,40,1
"2022-04-13 09:18:50.397Z","192.168.186.128",tcp,"192.168.186.93",60841,"192.168.186.129",80,40,1
"2022-04-13 09:18:50.188Z","192.168.186.128",tcp,"192.168.186.93",60840,"192.168.186.129",80,40,1
"2022-04-13 09:18:50.019Z","192.168.186.128",tcp,"192.168.186.93",60839,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.911Z","192.168.186.128",tcp,"192.168.186.93",60838,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.889Z","192.168.186.128",tcp,"192.168.186.93",60837,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.887Z","192.168.186.128",tcp,"192.168.186.93",60835,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.887Z","192.168.186.128",tcp,"192.168.186.93",60836,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.886Z","192.168.186.128",tcp,"192.168.186.93",60834,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.885Z","192.168.186.128",tcp,"192.168.186.93",60833,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.884Z","192.168.186.128",tcp,"192.168.186.93",60831,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.884Z","192.168.186.128",tcp,"192.168.186.93",60832,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.882Z","192.168.186.128",tcp,"192.168.186.93",60830,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.881Z","192.168.186.128",tcp,"192.168.186.93",60828,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.881Z","192.168.186.128",tcp,"192.168.186.93",60829,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.880Z","192.168.186.128",tcp,"192.168.186.93",60827,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.878Z","192.168.186.128",tcp,"192.168.186.93",60826,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.875Z","192.168.186.128",tcp,"192.168.186.93",60825,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.873Z","192.168.186.128",tcp,"192.168.186.93",60824,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.871Z","192.168.186.128",tcp,"192.168.186.93",60823,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.864Z","192.168.186.128",tcp,"192.168.186.93",60822,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.863Z","192.168.186.128",tcp,"192.168.186.93",60820,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.863Z","192.168.186.128",tcp,"192.168.186.93",60821,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.861Z","192.168.186.128",tcp,"192.168.186.93",60818,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.861Z","192.168.186.128",tcp,"192.168.186.93",60819,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.860Z","192.168.186.128",tcp,"192.168.186.93",60817,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.855Z","192.168.186.128",tcp,"192.168.186.93",60816,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.840Z","192.168.186.128",tcp,"192.168.186.93",60815,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.785Z","192.168.186.128",tcp,"192.168.186.93",60814,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.754Z","192.168.186.128",tcp,"192.168.186.93",60813,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.688Z","192.168.186.128",tcp,"192.168.186.93",60812,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.494Z","192.168.186.128",tcp,"192.168.186.93",60811,"192.168.186.129",80,40,1
